opt_x,opt_y,outer_width,inner_width,center_x,center_y,outer_x,outer_y,inner_x,inner_y,curvature,ref_v
-74.56569914210505,52.99405597437572,0.8234067670029646,0.3790732329970439,-74.56569914210505,53.21622274137868,-74.56569914210505,53.81746274137869,-74.56569914210505,52.61498274137868,0.1333835619810458,7.669272186087255
-74.85928884030484,52.764835388749,1.0787506417638202,0.1607865579272224,-74.94243914210506,53.21622274137867,-75.05471792736658,53.825736147084136,-74.83016035684352,52.60670933567321,0.1458888029956035,7.333213538397525
-74.97495716640441,52.65929442257093,1.2434178266485856,0.0930244688083391,-75.20325914210505,53.18724274137868,-75.46848356676232,53.800574223398606,-74.93803471744778,52.573911259358745,0.1518745972770483,7.187249376018667
-75.06381695925056,52.55594617269657,1.398683852766082,0.0473380215433136,-75.46407914210505,53.10030274137867,-75.8923839168663,53.68279723505396,-75.0357743673438,52.51780824770338,0.1574996051829433,7.057738164112356
-75.14285274694848,52.43522942757786,1.501461734521551,0.0149636301574788,-75.72489914210504,52.89744274137868,-76.31866371835591,53.36896166957788,-75.1311345658542,52.42592381317947,0.1639269770099794,6.917992171568696
-75.1965875259762,52.3206365141207,1.5411752607714069,0.0011488173901531,-75.89877914210504,52.63662274137868,-76.6020183895175,52.953080402714285,-75.1955398946926,52.32016508004308,0.1700128225076327,6.793044136010935
-75.2274789444218,52.21067838335443,1.4946924868538871,1.4808157409989753e-08,-75.95673914210505,52.37409803549632,-76.6859993253385,52.53751768440018,-75.2274789588716,52.21067838659247,0.1759061070754092,6.678282880729891
-75.25102464639787,52.02874798689757,1.432093430978958,0.013897553560538,-75.95673914210505,52.09793568255514,-76.67628487954507,52.16847938230416,-75.23719340466504,52.02739198280612,0.1862771991456495,6.489712863090555
-75.25475998403418,51.8203158094361,1.3749679016081269,0.0189976139329832,-75.92775914210505,51.73824274137868,-76.61961620332978,51.653869929034194,-75.23590208088031,51.82261555372316,0.164266010073526,6.737012103426934
-75.24169044492605,51.69315468085181,1.256049213901524,0.0368530744657711,-75.81183914210506,51.47742274137868,-76.41645601337692,51.24864879008663,-75.2072222708332,51.70619669267072,0.1531677988672228,6.8842633553328785
-75.20503419147398,51.534051454351975,1.1438451882888303,0.0818188117111674,-75.62984474210505,51.21544354137868,-76.12011034210505,50.84774434137868,-75.13957914210505,51.58314274137867,0.1410003600204898,7.0678789423165
-75.11570157154378,51.24922716794794,1.0263112908206815,0.2184871004244594,-75.4307448925741,50.99645714100345,-75.91620376327057,50.60695689251352,-74.9452860218776,51.38595738949338,0.123119075821981,7.391795836159906
-75.00977331021318,50.9599374570434,0.8961269206529762,0.348531427203086,-75.22259726593245,50.787684242316764,-75.7063359312032,50.3961609295447,-74.73885860066169,51.17920755508883,0.1088699140096384,7.711842643664672
-74.89314480393213,50.67795119537009,0.7788801972226033,0.4656789500087775,-75.01444963929079,50.57891134363008,-75.49647531381162,50.185359419683486,-74.53242396476996,50.97246326757668,0.0976729169684274,8.016268777538752
